Diet_type,Recipe_name,Calories,Protein,Carbs,Fat,Cuisine
Vegan,Vegan Moussaka,380,12,45,18,Mediterranean
Non-vegetarian,Tandoori Chicken,380,45,8,18,Indian
Vegetarian,Sopapillas,320,5,48,14,Mexican
Non-vegetarian,Chicken Chow Mein,480,28,55,18,Chinese
Vegan,Pico de Gallo,50,2,10,1,Mexican
Vegetarian,Cheese Ravioli,480,20,52,22,Italian
Vegan,Tofu Schezwan,350,18,28,20,Chinese
Vegan,Poha,250,6,42,8,Indian
Vegetarian,Bean Enchiladas,480,18,52,24,Mexican
Vegetarian,Idli with Chutney,250,8,45,4,Indian
Vegetarian,Veg Sweet and Sour,280,8,45,8,Chinese
Vegetarian,Pasta Primavera,450,15,65,16,Italian
Vegan,Bean Soup,260,14,40,6,Italian
Non-vegetarian,Sesame Chicken,480,28,42,26,Chinese
Vegetarian,Spring Rolls,320,8,40,15,Chinese
Non-vegetarian,Beef Bolognese,550,35,52,28,Italian
Vegan,Vegan Kebab,320,14,42,14,Mediterranean
Vegetarian,Veg Manchow Soup,180,6,25,8,Indian
Vegan,Vegetable Dumplings,280,10,40,10,Chinese
Non-vegetarian,Beef Kofta,480,35,12,32,Mediterranean
Vegan,Tabbouleh,180,5,28,8,Mediterranean
Non-vegetarian,Shrimp Risotto,520,30,52,24,Italian
Non-vegetarian,Fish Kebab,350,32,8,20,Mediterranean
Non-vegetarian,Prawn Curry,350,28,12,22,Indian
Vegan,Bharwa Bhindi,200,6,22,12,Indian
Non-vegetarian,Lamb Bhuna,500,38,10,35,Indian
Non-vegetarian,Fish Tacos,380,28,35,18,Mexican
Non-vegetarian,Lamb Gyro,520,35,40,32,Mediterranean
Non-vegetarian,Fish Tikka,280,32,8,14,Indian
Non-vegetarian,Lamb Rogan Josh,520,38,12,35,Indian
Vegan,White Bean Salad,280,14,38,10,Mediterranean
Non-vegetarian,Chicken Chettinad,450,38,12,28,Indian
Vegan,Steamed Bok Choy,120,5,12,6,Chinese
Vegetarian,Aloo Gobi,280,8,35,12,Indian
Non-vegetarian,Chicken Kofta,420,35,12,28,Mediterranean
Non-vegetarian,Chicken Saag,420,35,12,28,Indian
Vegetarian,Gnocchi with Pesto,480,12,55,24,Italian
Non-vegetarian,Dragon Chicken,480,30,32,28,Chinese
Non-vegetarian,Chicken Shawarma,480,38,25,28,Mediterranean
Vegetarian,Cheese Tostada,380,18,38,20,Mexican
Non-vegetarian,Fish Ball Soup,280,22,25,14,Chinese
Non-vegetarian,Chicken Tagine,420,35,25,24,Mediterranean
Vegan,Chana Masala,340,15,50,8,Indian
Vegetarian,Mexican Corn Salad,280,8,38,14,Mexican
Vegetarian,Paneer Butter Masala,450,18,25,32,Indian
Vegetarian,Kadai Paneer,480,22,20,35,Indian
Vegan,Vegan Burrito Bowl,420,16,58,14,Mexican
Non-vegetarian,Honey Garlic Shrimp,380,25,35,16,Chinese
Non-vegetarian,Fish Fry,320,32,12,18,Indian
Vegetarian,Vegetable Lasagna,480,20,48,26,Italian
Vegetarian,Greek Flatbread,380,14,45,20,Mediterranean
Vegetarian,Bean Chalupa,380,14,45,18,Mexican
Vegetarian,Halloumi Fries,380,20,28,26,Mediterranean
Vegetarian,Veg Wontons,280,8,38,12,Chinese
Vegetarian,Dhokla,180,8,30,4,Indian
Vegetarian,Cheese Fatayer,350,14,38,18,Mediterranean
Vegetarian,Halloumi Burger,480,24,38,30,Mediterranean
Non-vegetarian,Mixed Grill,550,45,12,38,Mediterranean
Vegan,Vegan Caesar Salad,280,10,22,18,Italian
Non-vegetarian,Beef Carpaccio,280,25,5,18,Italian
Non-vegetarian,Chicken Nachos,550,30,52,30,Mexican
Vegan,Toor Dal,250,16,38,4,Indian
Vegan,Hummus Bowl,380,14,42,18,Mediterranean
Non-vegetarian,Veal Marsala,480,35,18,30,Italian
Non-vegetarian,Chicken Souvlaki,380,35,12,22,Mediterranean
Vegan,Corn and Vegetable Soup,150,6,25,4,Chinese
Non-vegetarian,Grilled Prawns,320,28,5,18,Mediterranean
Non-vegetarian,Chicken Tikka Masala,520,38,20,32,Indian
Non-vegetarian,Seafood Risotto,520,32,50,22,Italian
Vegan,Vegan Risotto,420,10,58,16,Italian
Non-vegetarian,Seafood Tagine,420,35,25,22,Mediterranean
Vegan,Tofu Stir Fry,300,18,22,18,Chinese
Non-vegetarian,Fish Amritsari,350,28,22,20,Indian
Non-vegetarian,Fish Curry,380,35,15,22,Indian
Non-vegetarian,Chicken Shish,420,38,8,26,Mediterranean
Vegan,Olive Tapenade Crostini,220,5,28,12,Italian
Vegan,Marinara Pasta,380,12,62,10,Italian
Non-vegetarian,Mutton Biryani,620,35,55,32,Indian
Non-vegetarian,Lamb Curry,480,35,12,32,Indian
Vegan,Arugula Salad,180,5,12,14,Italian
Vegetarian,Vegetable Burrito,480,16,58,20,Mexican
Non-vegetarian,Beef Kebab,480,35,10,32,Mediterranean
Vegetarian,Pan Fried Noodles,420,10,58,16,Chinese
Vegan,Zucchini Fritters,250,8,28,14,Mediterranean
Non-vegetarian,Steak Burrito,580,38,55,30,Mexican
Vegetarian,Szechuan Fried Rice,440,12,65,16,Chinese
Vegan,Vegan Pozole,280,12,40,8,Mexican
Vegetarian,Feta Pasta,450,18,52,24,Mediterranean
Vegetarian,Paneer 65,380,18,25,26,Chinese
Non-vegetarian,Lasagna,620,35,48,35,Italian
Non-vegetarian,Shrimp Ceviche,220,25,12,8,Mexican
Non-vegetarian,Chicken Vindaloo,420,35,12,28,Indian
Non-vegetarian,Egg Curry,320,18,15,22,Indian
Vegan,Lentil Soup,280,18,38,6,Mediterranean
Vegetarian,Veg Korma,420,12,35,28,Indian
Vegetarian,Stuffed Grape Leaves,280,8,35,14,Mediterranean
Non-vegetarian,Chicken Burrito,550,35,55,26,Mexican
Vegetarian,Uttapam,290,9,48,8,Indian
Vegan,Falafel Plate,450,20,52,20,Mediterranean
Vegetarian,Cheese Taquitos,380,16,42,20,Mexican
Vegan,Veg Khichdi,320,12,52,8,Indian
Vegan,Vegan Tamales,380,12,52,14,Mexican
Vegetarian,Cheese Stuffed Shells,520,24,48,28,Italian
Vegan,Vegan Shawarma,380,15,48,16,Mediterranean
Non-vegetarian,Lamb Kebab,450,35,8,32,Mediterranean
Vegetarian,Cheese Flautas,420,18,42,24,Mexican
Vegetarian,Greek Pita,380,14,45,20,Mediterranean
Non-vegetarian,Chorizo Burrito,580,28,52,35,Mexican
Vegetarian,Masala Dosa,380,12,58,12,Indian
Vegetarian,Caprese Panini,420,18,42,22,Italian
Non-vegetarian,Chicken Manchurian,420,28,35,22,Chinese
Vegan,Grilled Corn Salad,220,6,35,10,Mexican
Vegan,Mushroom Fried Rice,400,12,60,14,Chinese
Vegan,Lauki Sabzi,140,4,20,5,Indian
Vegan,Vegan Sopes,350,12,48,14,Mexican
Vegan,Grilled Eggplant,150,4,18,8,Mediterranean
Non-vegetarian,Prosciutto Pizza,550,28,58,26,Italian
Non-vegetarian,Beef Shawarma,520,35,28,32,Mediterranean
Non-vegetarian,Meatball Sub,580,32,52,30,Italian
Vegetarian,Rigatoni,420,14,62,14,Italian
Non-vegetarian,Shrimp Saganaki,350,28,12,22,Mediterranean
Vegetarian,Cheese Manakish,420,18,45,22,Mediterranean
Vegetarian,Cheese Sope,380,16,42,20,Mexican
Vegetarian,Gobi Manchurian,320,8,38,16,Indian
Vegetarian,Cheese Pupusa,420,18,48,22,Mexican
Vegan,Vegan Biryani,420,12,65,14,Indian
Vegetarian,Paneer Do Pyaza,450,20,18,32,Indian
Vegetarian,Veg Lo Mein,420,12,62,14,Chinese
Vegan,Guacamole,250,4,18,22,Mexican
Vegetarian,Bean and Cheese Burrito,520,20,62,22,Mexican
Vegetarian,Nachos Supreme,620,22,55,38,Mexican
Vegan,Aloo Gobi Dry,200,6,28,10,Indian
Non-vegetarian,Spaghetti Bolognese,550,32,55,24,Italian
Vegetarian,Veg Kathi Roll,420,14,52,18,Indian
Vegetarian,Pav Bhaji,480,12,55,24,Indian
Non-vegetarian,Orange Chicken,520,28,55,22,Chinese
Non-vegetarian,Butter Chicken,550,35,18,38,Indian
Vegetarian,Mediterranean Salad,220,8,18,16,Mediterranean
Vegetarian,Cheese Borek,380,15,35,22,Mediterranean
Non-vegetarian,Chicken Malai Tikka,380,32,8,26,Indian
Vegan,Vegan Kung Pao,280,12,32,14,Chinese
Non-vegetarian,Seafood Platter,420,42,10,22,Mediterranean
Vegetarian,Paneer Bhurji,380,20,12,28,Indian
Vegan,Vegan Fajitas,300,10,38,14,Mexican
Vegetarian,Tzatziki with Pita,280,10,35,14,Mediterranean
Non-vegetarian,Chicken Satay,420,32,18,28,Chinese
Vegetarian,Chole Bhature,550,18,70,25,Indian
Vegetarian,Paneer Schezwan,420,18,28,28,Chinese
Vegan,Chana Dal,260,14,38,6,Indian
Vegetarian,Rajma Chawal,450,18,65,12,Indian
Vegan,Roasted Eggplant Dip,180,4,18,12,Mediterranean
Vegan,Black Bean Salad,280,14,38,10,Mexican
Vegetarian,Palak Paneer,420,20,18,28,Indian
Vegetarian,Tomato Basil Soup,180,6,25,6,Italian
Vegan,Mushroom Fajitas,280,10,32,14,Mexican
Vegan,Karela Sabzi,150,5,18,8,Indian
Vegetarian,Stir Fry Vegetables,200,6,25,8,Chinese
Vegan,Muhammara,250,6,22,18,Mediterranean
Non-vegetarian,Chicken Quesadilla,520,32,45,28,Mexican
Vegetarian,Paneer Lababdar,520,22,25,38,Indian
Vegan,Bean Tostadas,320,14,45,12,Mexican
Non-vegetarian,Chicken 65,380,28,22,24,Chinese
Vegetarian,Paneer Tikka Masala,480,24,22,32,Indian
Vegetarian,Samosa,350,8,45,16,Indian
Vegan,Vegetable Tagine,320,10,45,12,Mediterranean
Vegetarian,Tofu in Black Bean Sauce,320,18,20,20,Chinese
Vegan,Mushroom Matar,260,12,25,12,Indian
Vegan,Stir Fried Tofu,280,18,15,18,Chinese
Vegan,Quinoa Tabbouleh,320,10,48,12,Mediterranean
Vegetarian,Fried Tofu,280,18,12,20,Chinese
Vegetarian,Crispy Honey Chilli Potato,380,6,52,18,Chinese
Non-vegetarian,Chilli Chicken,450,32,28,26,Chinese
Non-vegetarian,Fish in Black Bean Sauce,350,30,15,20,Chinese
Vegan,Miso Soup,80,6,8,3,Chinese
Non-vegetarian,Chicken Enchiladas,550,35,42,28,Mexican
Non-vegetarian,Chicken Tinga,380,32,18,22,Mexican
Vegetarian,Feta Spinach Pie,420,18,32,28,Mediterranean
Vegetarian,Fettuccine Alfredo,580,18,55,35,Italian
Vegetarian,Vegetable Risotto,420,10,55,18,Italian
Vegan,Chickpea Stew,320,16,42,10,Mediterranean
Vegan,Szechuan Vegetables,200,8,22,10,Chinese
Vegan,Jackfruit Burrito,420,12,55,16,Mexican
Non-vegetarian,Chicken Biryani,580,32,55,28,Indian
Vegetarian,Spinach Lasagna,520,25,48,28,Italian
Non-vegetarian,Shrimp Lo Mein,450,25,52,18,Chinese
Non-vegetarian,Al Pastor,450,35,25,28,Mexican
Vegetarian,Halloumi Wrap,420,22,38,26,Mediterranean
Vegan,Mushroom Pasta Vegan,400,12,55,16,Italian
Vegetarian,Veg Dim Sum,280,10,38,10,Chinese
Vegan,Baba Ganoush,180,5,18,12,Mediterranean
Vegan,Edamame,190,17,14,8,Chinese
Non-vegetarian,Chicken Reshmi,450,35,15,30,Indian
Vegan,Vegetable Soup,120,5,18,4,Chinese
Vegetarian,Greek Salad with Feta,320,12,18,24,Mediterranean
Non-vegetarian,Tilapia Livornese,320,35,12,16,Italian
Non-vegetarian,Chicken Kadai,450,38,15,28,Indian
Vegan,Vegan Pesto Pasta,450,14,58,20,Italian
Non-vegetarian,Kung Pao Chicken,480,35,28,25,Chinese
Vegan,Lentil Soup Italian,280,16,42,5,Italian
Vegetarian,Vegetable Panini,380,14,45,18,Italian
Non-vegetarian,Chicken Korma,550,32,22,38,Indian
Vegetarian,Elote,320,8,42,16,Mexican
Non-vegetarian,Pork Carnitas,480,35,25,30,Mexican
Vegan,Couscous Salad,350,10,52,12,Mediterranean
Vegetarian,Veg Ball Manchurian,350,8,42,16,Chinese
Non-vegetarian,Beef Tostadas,450,32,38,28,Mexican
Non-vegetarian,Veal Scallopini,420,35,12,26,Italian
Vegan,Tomato Bruschetta,240,6,32,10,Italian
Vegetarian,Falafel with Hummus,420,18,45,22,Mediterranean
Non-vegetarian,Camarones al Mojo,350,28,15,22,Mexican
Vegetarian,Tortellini in Brodo,380,16,48,16,Italian
Vegan,Vegan Minestrone,200,8,32,5,Italian
Vegetarian,Italian Salad,280,12,18,20,Italian
Non-vegetarian,Chicken Fajitas,420,35,28,24,Mexican
Non-vegetarian,Osso Buco,550,42,15,35,Italian
Vegan,Vegetable Jalfrezi,220,8,28,10,Indian
Non-vegetarian,Chicken Dumpling,320,20,35,16,Chinese
Vegan,Eggplant in Chilli Sauce,220,6,25,12,Chinese
Vegan,Vegan Empanadas,350,10,48,14,Mexican
Vegan,Spaghetti Aglio e Olio,420,12,65,15,Italian
Vegetarian,Guacamole with Chips,380,6,35,28,Mexican
Vegetarian,Bean Taco,350,14,45,16,Mexican
Vegan,Palak Dal,260,14,35,8,Indian
Vegetarian,Mapo Tofu,350,20,18,24,Chinese
Vegan,Roasted Vegetable Pasta,400,10,58,14,Italian
Vegan,Vegan Gnocchi,420,10,58,16,Italian
Vegetarian,Malai Kofta,520,15,40,35,Indian
Vegan,Vegan Flautas,380,10,48,16,Mexican
Vegan,Sweet Potato Tacos,350,8,52,14,Mexican
Vegan,Mexican Bean Soup,280,16,42,6,Mexican
Vegan,Bean Sprout Stir Fry,150,8,15,8,Chinese
Vegan,Vegan Fried Rice,380,10,58,12,Chinese
Non-vegetarian,Szechuan Shrimp,320,28,12,18,Chinese
Vegetarian,Cheese Pastry,380,14,38,22,Mediterranean
Non-vegetarian,Schezwan Chicken,420,30,28,24,Chinese
Non-vegetarian,Shrimp Alfredo,550,32,50,30,Italian
Vegetarian,Veg Pulao,380,10,60,12,Indian
Non-vegetarian,Beef Fajitas,450,35,25,28,Mexican
Vegetarian,Hakka Noodles,480,12,70,16,Chinese
Non-vegetarian,Chicken Do Pyaza,420,35,15,26,Indian
Vegan,Bhindi Masala,180,6,20,8,Indian
Vegetarian,Churros,380,6,55,16,Mexican
Non-vegetarian,Chicken Fried Rice,520,28,60,20,Chinese
Non-vegetarian,Grilled Fish,320,38,5,16,Mediterranean
Non-vegetarian,Lamb Moussaka,580,32,35,38,Mediterranean
Non-vegetarian,Italian Meatballs,450,30,25,30,Italian
Vegetarian,Margherita Pizza,520,22,60,22,Italian
Non-vegetarian,Seafood Linguine,520,32,55,24,Italian
Vegan,Roasted Vegetable Tacos,320,10,42,14,Mexican
Vegan,Falafel Salad,350,16,38,18,Mediterranean
Non-vegetarian,Shrimp Tempura,380,22,35,22,Chinese
Non-vegetarian,Chicken Handi,480,35,18,32,Indian
Vegan,Clear Vegetable Soup,100,4,15,2,Chinese
Vegan,Mushroom Chilli,260,10,25,14,Chinese
Non-vegetarian,Grilled Lamb Chops,520,38,5,38,Mediterranean
Non-vegetarian,Beef Enchiladas,580,35,45,32,Mexican
Vegan,Kung Pao Vegetables,240,8,28,12,Chinese
Non-vegetarian,Seafood Pasta,520,32,52,26,Italian
Vegetarian,Burnt Garlic Fried Rice,420,10,62,16,Chinese
Non-vegetarian,Carnitas Tacos,450,35,35,25,Mexican
Non-vegetarian,Mutton Seekh Kebab,380,32,8,26,Indian
Vegan,Tofu with Vegetables,320,18,25,18,Chinese
Vegan,Grilled Vegetables,180,6,22,8,Italian
Vegetarian,Greek Omelette,350,22,8,26,Mediterranean
Non-vegetarian,Chicken Lollipop,350,28,18,22,Indian
Vegan,Vegan Tacos,320,14,45,12,Mexican
Vegetarian,American Chop Suey,450,12,62,18,Chinese
Non-vegetarian,Honey Chilli Chicken,480,28,38,26,Chinese
Vegetarian,Caprese Salad,320,18,12,24,Italian
Vegan,Pasta Pomodoro,380,12,60,10,Italian
Vegetarian,Huevos Rancheros,420,18,35,26,Mexican
Vegetarian,Spanakopita,380,14,32,24,Mediterranean
Vegan,Bean Burrito Vegan,420,16,58,14,Mexican
Vegetarian,Cheese Quesadilla,480,22,45,26,Mexican
Non-vegetarian,Shrimp Fajitas,380,28,28,22,Mexican
Non-vegetarian,Meat Lasagna,620,38,48,35,Italian
Vegetarian,Triple Schezwan Rice,480,14,68,18,Chinese
Vegetarian,Veggie Tacos,380,14,48,16,Mexican
Vegetarian,Manicotti,480,22,52,24,Italian
Vegetarian,Feta Stuffed Peppers,350,16,28,24,Mediterranean
Vegetarian,Baked Ziti,520,22,55,26,Italian
Vegetarian,Veg Momos,280,10,42,10,Chinese
Vegetarian,Greek Cheese Pie,420,18,35,28,Mediterranean
Non-vegetarian,Mussels Marinara,380,28,28,18,Italian
Vegetarian,Vegetable Chimichanga,520,16,55,28,Mexican
Non-vegetarian,Fish Souvlaki,350,32,12,20,Mediterranean
Non-vegetarian,Barbacoa,420,38,10,26,Mexican
Vegan,Bean and Rice,380,14,58,10,Mexican
Non-vegetarian,Chicken Parmigiana,560,40,35,32,Italian
Vegan,Mushroom Tacos,280,10,35,14,Mexican
Non-vegetarian,Beef Sopes,450,32,42,28,Mexican
Vegetarian,Kung Pao Tofu,380,18,28,22,Chinese
Non-vegetarian,Crispy Duck,520,30,15,38,Chinese
Vegetarian,Chiles Rellenos,420,18,28,28,Mexican
Vegan,Chips and Salsa,280,5,42,12,Mexican
Vegan,Vegan Pita,350,12,52,12,Mediterranean
Non-vegetarian,Grilled Octopus,280,30,8,14,Mediterranean
Vegan,Cauliflower Tacos,280,8,35,14,Mexican
Vegan,Bruschetta Pomodoro,250,6,35,10,Italian
Non-vegetarian,Fish Tagine,380,32,25,20,Mediterranean
Vegan,Crispy Tofu,300,18,18,18,Chinese
Vegan,Wonton Soup,220,8,35,6,Chinese
Non-vegetarian,Pork Dumplings,350,22,38,18,Chinese
Vegan,Italian Bean Salad,280,12,35,12,Italian
Vegan,Vegetable Minestrone,200,8,32,5,Italian
Vegetarian,Veg Chow Mein,400,10,58,14,Chinese
Vegetarian,Chilli Paneer Dry,420,20,22,30,Chinese
Vegan,Falafel Wrap,420,18,52,18,Mediterranean
Vegetarian,Cheese Tortellini,450,20,52,20,Italian
Vegetarian,Feta Cheese Pie,420,18,28,28,Mediterranean
Vegan,Vegan Enchiladas,420,15,52,18,Mexican
Vegetarian,Gobi Manchurian Dry,320,8,38,16,Chinese
Non-vegetarian,Clam Linguine,480,28,55,22,Italian
Vegetarian,Labneh with Olive Oil,250,12,15,18,Mediterranean
Vegetarian,Hot and Sour Soup,150,6,22,4,Chinese
Non-vegetarian,Chicken Sopes,420,28,42,24,Mexican
Vegetarian,Mexican Salad,280,12,25,18,Mexican
Vegan,Vegetable Chow Mein,380,10,58,12,Chinese
Vegetarian,Feta Salad,280,14,15,20,Mediterranean
Vegan,Mix Dal,290,18,42,6,Indian
Vegan,Bean Stew,300,16,42,8,Mediterranean
Vegan,Veg Dalia,280,10,48,6,Indian
Non-vegetarian,Veal Piccata,450,35,12,28,Italian
Non-vegetarian,Mutton Korma,580,35,18,42,Indian
Vegan,Fagioli Soup,260,14,40,6,Italian
Non-vegetarian,Prawn Fried Rice,480,26,58,18,Chinese
Non-vegetarian,Chicken Tamales,420,28,45,22,Mexican
Vegan,Chinese Greens,120,6,12,6,Chinese
Vegetarian,Shahi Paneer,500,18,22,38,Indian
Vegan,Dal Tadka,280,14,40,8,Indian
Vegetarian,Stuffed Paratha,380,10,48,18,Indian
Non-vegetarian,General Tso Chicken,550,30,45,30,Chinese
Vegan,Vegan Spring Rolls,280,8,38,12,Chinese
Non-vegetarian,Pescado Frito,380,30,25,22,Mexican
Vegetarian,Halloumi Skewers,350,22,15,26,Mediterranean
Vegetarian,Pappardelle,450,15,58,18,Italian
Non-vegetarian,Fish Moilee,340,30,12,20,Indian
Vegan,Aloo Tikki,280,6,38,14,Indian
Vegan,Focaccia with Tomatoes,350,10,52,12,Italian
Non-vegetarian,Shrimp Tacos,350,25,32,18,Mexican
Non-vegetarian,Birria,480,38,15,30,Mexican
Non-vegetarian,Egg Foo Young,380,22,18,26,Chinese
Vegan,Cabbage Sabzi,150,5,18,6,Indian
Non-vegetarian,Shrimp Burrito,520,30,52,26,Mexican
Vegetarian,Minestrone Soup,220,10,35,6,Italian
Non-vegetarian,Chicken Piccata,420,38,15,25,Italian
Vegan,Vegan Pizza,450,12,58,18,Italian
Vegetarian,Shakshuka,320,18,22,20,Mediterranean
Vegetarian,Vegetable Biryani,480,12,65,18,Indian
Vegan,Mediterranean Pasta,420,12,60,16,Italian
Non-vegetarian,Grilled Chicken,380,42,5,18,Mediterranean
Vegetarian,Veg Fried Rice,420,12,65,14,Chinese
Vegetarian,Cheese Focaccia,380,14,48,18,Italian
Vegetarian,Cheese Pide,450,20,48,24,Mediterranean
Vegetarian,Four Cheese Pizza,580,26,58,30,Italian
Non-vegetarian,Beef with Broccoli,420,35,18,24,Chinese
Non-vegetarian,Egg Biryani,480,22,55,22,Indian
Non-vegetarian,Salmon Risotto,520,35,50,25,Italian
