Diet_type,Recipe_name,Calories,Protein,Carbs,Fat,Cuisine
Vegetarian,Feta Bruschetta Special,345,13,32,20,Mediterranean
Non-vegetarian,Shrimp Tempura Special,368,25,35,22,Chinese
Non-vegetarian,Carne Asada Special,507,40,8,30,Mexican
Vegan,Vegan Caesar Salad Special,268,9,22,18,Italian
Vegan,Vegan Dolmas Special,223,7,35,8,Mediterranean
Non-vegetarian,Mutton Biryani Special,624,37,55,32,Indian
Vegetarian,Bean Enchiladas Special,481,17,52,24,Mexican
Non-vegetarian,Veal Scallopini Special,437,35,12,26,Italian
Non-vegetarian,Chicken Alfredo Special,577,39,52,32,Italian
Vegan,Corn and Vegetable Soup Special,159,5,25,4,Chinese
Vegan,Palak Dal Special,287,15,35,8,Indian
Vegan,Lentil Soup Italian Special,290,18,42,5,Italian
Non-vegetarian,Fish Ball Soup Special,296,22,25,14,Chinese
Vegan,Sesame Noodles Special,374,9,52,12,Chinese
Vegan,Agua Fresca Special,150,2,30,0,Mexican
Vegan,Marinara Pasta Special,409,10,62,10,Italian
Vegan,Pasta e Fagioli Special,350,13,48,8,Italian
Vegetarian,Tomato Basil Soup Special,151,5,25,6,Italian
Vegetarian,Corn Soup Special,156,6,30,4,Chinese
Vegetarian,Gobi Manchurian Special,302,11,38,16,Indian
Non-vegetarian,Orange Chicken Special,490,27,55,22,Chinese
Vegan,Pasta Pomodoro Special,377,9,60,10,Italian
Non-vegetarian,Gyros Special,539,33,42,28,Mediterranean
Non-vegetarian,Chicken Handi Special,497,36,18,32,Indian
Non-vegetarian,Seafood Pasta Special,529,32,52,26,Italian
Non-vegetarian,Seafood Linguine Special,516,29,55,24,Italian
Vegetarian,Fried Tofu Special,275,17,12,20,Chinese
Non-vegetarian,Veal Scallopini Special,449,36,12,26,Italian
Non-vegetarian,Lamb Shish Special,462,33,8,35,Mediterranean
Vegan,Vegan Churros Special,345,7,52,15,Mexican
Non-vegetarian,Veal Marsala Special,503,36,18,30,Italian
Vegan,Mediterranean Beans Special,253,14,38,10,Mediterranean
Non-vegetarian,Chicken Chow Mein Special,470,29,55,18,Chinese
Vegetarian,Veg Manchow Soup Special,196,5,25,8,Indian
Vegetarian,Paneer 65 Special,371,18,25,26,Chinese
Vegetarian,Hakka Noodles Special,477,10,70,16,Chinese
Vegan,Vegetable Jalfrezi Special,210,5,28,10,Indian
Non-vegetarian,Kung Pao Chicken Special,499,33,28,25,Chinese
Vegetarian,Uttapam Special,270,6,48,8,Indian
Vegetarian,Greek Flatbread Special,368,16,45,20,Mediterranean
Non-vegetarian,Salmon Risotto Special,509,32,50,25,Italian
Vegetarian,Nachos Supreme Special,641,24,55,38,Mexican
Vegetarian,Chole Bhature Special,560,19,70,25,Indian
Non-vegetarian,Pork Dumplings Special,343,22,38,18,Chinese
Vegetarian,Kadai Paneer Special,503,25,20,35,Indian
Vegan,Buddha Bowl Special,417,14,55,16,Chinese
Vegan,Jeera Rice Special,288,4,52,8,Indian
Vegan,Vegetable Dumplings Special,275,9,40,10,Chinese
Vegetarian,Steamed Veg Dumplings Special,266,6,38,8,Chinese
Non-vegetarian,Chicken Enchiladas Special,550,37,42,28,Mexican
Non-vegetarian,Sweet and Sour Pork Special,545,31,45,28,Chinese
Non-vegetarian,Fish Curry Special,361,38,15,22,Indian
Non-vegetarian,Chicken Cacciatore Special,451,35,18,25,Italian
Vegan,Hummus Bowl Special,378,11,42,18,Mediterranean
Non-vegetarian,Chicken Kadai Special,455,35,15,28,Indian
Non-vegetarian,Chicken Malai Tikka Special,381,29,8,26,Indian
Non-vegetarian,Pork Fried Rice Special,519,26,58,24,Chinese
Non-vegetarian,Egg Curry Special,337,20,15,22,Indian
Vegan,Ribollita Special,271,14,42,8,Italian
Vegan,Panzanella Special,344,7,45,14,Italian
Vegan,Chickpea Salad Special,301,13,35,12,Mediterranean
Vegetarian,Kadai Paneer Special,484,21,20,35,Indian
Vegetarian,Cheese Sope Special,379,17,42,20,Mexican
Vegetarian,Refried Beans Special,243,10,35,6,Mexican
Vegan,Mushroom Pasta Vegan Special,379,13,55,16,Italian
Vegan,Methi Aloo Special,227,6,28,8,Indian
Vegetarian,Veg Momos Special,260,7,42,10,Chinese
Non-vegetarian,Mussels Marinara Special,357,26,28,18,Italian
Vegan,Buddha Bowl Special,432,12,55,16,Chinese
Non-vegetarian,Chicken Manchurian Special,432,31,35,22,Chinese
Non-vegetarian,Carnitas Tacos Special,439,36,35,25,Mexican
Vegetarian,Cheese Taquitos Special,358,16,42,20,Mexican
Non-vegetarian,Veal Scallopini Special,433,32,12,26,Italian
Non-vegetarian,Egg Foo Young Special,370,22,18,26,Chinese
Non-vegetarian,Lamb Tagine Special,488,33,28,30,Mediterranean
Vegan,Caponata Special,178,5,25,10,Italian
Non-vegetarian,Clam Linguine Special,489,30,55,22,Italian
Vegan,Vegan Churros Special,330,6,52,15,Mexican
Non-vegetarian,Shrimp Burrito Special,516,31,52,26,Mexican
Vegan,Veg Khichdi Special,349,13,52,8,Indian
Vegetarian,Halloumi Salad Special,378,22,15,28,Mediterranean
Non-vegetarian,Prawn Fried Rice Special,503,26,58,18,Chinese
Vegan,Mushroom Fried Rice Special,425,13,60,14,Chinese
Non-vegetarian,Clam Linguine Special,460,26,55,22,Italian
Non-vegetarian,Chicken Nachos Special,536,32,52,30,Mexican
Vegetarian,Mediterranean Salad Special,248,9,18,16,Mediterranean
Non-vegetarian,Tilapia Livornese Special,305,32,12,16,Italian
Vegetarian,Veg Chopsuey Special,404,7,52,14,Chinese
Non-vegetarian,Chicken 65 Special,396,29,22,24,Chinese
Vegan,Vegan Risotto Special,400,9,58,16,Italian
Vegetarian,Cheese Pupusa Special,443,18,48,22,Mexican
Vegan,Vegan Tostadas Special,377,12,48,14,Mexican
Vegan,Tomato Bruschetta Special,256,4,32,10,Italian
Non-vegetarian,Chicken Handi Special,459,33,18,32,Indian
Non-vegetarian,Fish Tikka Special,254,31,8,14,Indian
Non-vegetarian,Veal Piccata Special,462,33,12,28,Italian
Vegetarian,Veg Sweet and Sour Special,259,7,45,8,Chinese
Vegan,Sweet Potato Tacos Special,354,9,52,14,Mexican
Non-vegetarian,Carnitas Tacos Special,442,35,35,25,Mexican
Vegan,Caponata Special,206,5,25,10,Italian
Non-vegetarian,Carnitas Tacos Special,475,34,35,25,Mexican
Vegetarian,Feta Stuffed Peppers Special,326,19,28,24,Mediterranean
Vegan,Spaghetti Aglio e Olio Special,432,9,65,15,Italian
Vegetarian,Spinach Lasagna Special,499,24,48,28,Italian
Non-vegetarian,Beef Sopes Special,466,31,42,28,Mexican
Vegetarian,Chiles Rellenos Special,399,19,28,28,Mexican
Vegetarian,Veg Chow Mein Special,397,8,58,14,Chinese
Non-vegetarian,Shrimp Burrito Special,534,33,52,26,Mexican
Non-vegetarian,Egg Foo Young Special,385,21,18,26,Chinese
Vegetarian,Tomato Basil Soup Special,163,8,25,6,Italian
Vegan,Vegan Stuffed Peppers Special,258,12,38,12,Mediterranean
Vegetarian,Halloumi Wrap Special,446,20,38,26,Mediterranean
Non-vegetarian,Tilapia Livornese Special,341,37,12,16,Italian
Vegan,Wonton Soup Special,193,6,35,6,Chinese
Vegetarian,Veg Sweet and Sour Special,294,10,45,8,Chinese
Non-vegetarian,Butter Chicken Special,523,32,18,38,Indian
Non-vegetarian,Italian Meatballs Special,480,27,25,30,Italian
Non-vegetarian,Prawn Masala Special,375,31,15,22,Indian
Vegetarian,Veg Momos Special,265,7,42,10,Chinese
Non-vegetarian,Beef with Broccoli Special,409,32,18,24,Chinese
Non-vegetarian,Chicken Tikka Masala Special,512,35,20,32,Indian
Vegan,Grilled Eggplant Special,120,4,18,8,Mediterranean
Vegan,Veg Dalia Special,277,12,48,6,Indian
Vegan,Poha Special,224,5,42,8,Indian
Non-vegetarian,Fish Manchurian Special,385,30,32,20,Chinese
Non-vegetarian,Beef with Broccoli Special,446,38,18,24,Chinese
Vegan,Vegan Gnocchi Special,442,10,58,16,Italian
Vegan,Stir Fried Tofu Special,269,16,15,18,Chinese
Vegan,Mediterranean Quinoa Special,366,14,48,14,Mediterranean
Vegetarian,Guacamole with Chips Special,393,5,35,28,Mexican
Vegetarian,Bruschetta Special,279,5,38,12,Italian
Vegetarian,Cheese Calzone Special,567,22,55,28,Italian
Vegetarian,Mediterranean Salad Special,192,7,18,16,Mediterranean
Vegan,Quinoa Tabbouleh Special,300,7,48,12,Mediterranean
Non-vegetarian,Mutton Keema Special,491,35,8,35,Indian
Vegan,Fagioli Soup Special,232,11,40,6,Italian
Vegan,Vegetable Jalfrezi Special,242,10,28,10,Indian
Non-vegetarian,Szechuan Shrimp Special,309,26,12,18,Chinese
Vegetarian,Eggplant Parmesan Special,415,16,35,26,Italian
Non-vegetarian,Lasagna Special,623,33,48,35,Italian
Vegetarian,Chilli Paneer Dry Special,429,23,22,30,Chinese
Vegetarian,Mediterranean Wrap Special,427,19,42,22,Mediterranean
Vegetarian,Paneer Butter Masala Special,438,15,25,32,Indian
Non-vegetarian,Egg Curry Special,325,20,15,22,Indian
Vegetarian,Penne Pasta Special,422,15,62,14,Italian
Non-vegetarian,Shrimp Tacos Special,372,25,32,18,Mexican
Vegan,Aloo Tikki Special,262,8,38,14,Indian
Vegetarian,Paneer Tikka Special,404,24,15,28,Indian
Vegetarian,Mix Veg Curry Special,279,6,30,14,Indian
Vegetarian,Masala Dosa Special,395,15,58,12,Indian
Vegan,Toor Dal Special,278,19,38,4,Indian
Vegan,Aloo Baingan Special,239,8,32,10,Indian
Non-vegetarian,Seafood Linguine Special,513,35,55,24,Italian
Non-vegetarian,Seafood Linguine Special,501,30,55,24,Italian
Vegetarian,Spring Rolls Special,294,7,40,15,Chinese
Vegetarian,Cheese Tamale Special,426,13,48,22,Mexican
Non-vegetarian,Prawn Curry Special,369,25,12,22,Indian
Vegetarian,Feta Salad Special,274,15,15,20,Mediterranean
Vegan,Vegan Penne Special,380,10,60,10,Italian
Non-vegetarian,Beef Shawarma Special,520,34,28,32,Mediterranean
Vegetarian,Vegetable Burrito Special,508,13,58,20,Mexican
Vegan,Bhindi Masala Special,188,4,20,8,Indian
Vegetarian,Hakka Noodles Special,494,11,70,16,Chinese
Vegetarian,Palak Paneer Special,399,22,18,28,Indian
Vegetarian,Paneer Do Pyaza Special,426,19,18,32,Indian
Vegan,Vegan Fajitas Special,294,12,38,14,Mexican
Vegetarian,Baingan Bharta Special,215,3,25,12,Indian
Vegan,Vegan Hot and Sour Soup Special,161,9,20,4,Chinese
Vegetarian,Veg Lo Mein Special,404,11,62,14,Chinese
Vegetarian,Paneer Chilli Special,421,21,25,32,Chinese
Vegetarian,Paneer Chilli Special,425,16,25,32,Chinese
Non-vegetarian,Steak Burrito Special,583,35,55,30,Mexican
Non-vegetarian,Shrimp Alfredo Special,539,32,50,30,Italian
Non-vegetarian,Chicken Do Pyaza Special,434,35,15,26,Indian
Vegan,Vegan Empanadas Special,333,7,48,14,Mexican
Vegan,Broccoli in Garlic Special,166,6,18,10,Chinese
Vegan,Pico de Gallo Special,38,-1,10,1,Mexican
Vegetarian,Rajma Chawal Special,477,18,65,12,Indian
Vegan,Steamed Bok Choy Special,129,5,12,6,Chinese
Vegan,Aloo Matar Special,277,8,45,10,Indian
Vegan,Aloo Palak Special,240,9,30,10,Indian
Vegetarian,Four Cheese Pizza Special,564,25,58,30,Italian
Vegetarian,Greek Pita Special,355,13,45,20,Mediterranean
Vegan,Mediterranean Quinoa Special,379,15,48,14,Mediterranean
Vegan,Vegan Shawarma Special,368,12,48,16,Mediterranean
Vegan,Vegan Pizza Special,442,15,58,18,Italian
Vegan,Tinda Masala Special,177,2,22,6,Indian
Vegan,Jeera Rice Special,273,8,52,8,Indian
Vegan,Vegan Caesar Salad Special,286,13,22,18,Italian
Vegetarian,Bruschetta Special,278,8,38,12,Italian
Non-vegetarian,Seafood Pasta Special,541,33,52,26,Italian
Non-vegetarian,Shrimp Chilli Special,369,25,18,20,Chinese
Non-vegetarian,Pork Tamales Special,458,29,48,26,Mexican
Vegan,Vegan Stuffed Peppers Special,297,11,38,12,Mediterranean
Vegan,Miso Soup Special,63,4,8,3,Chinese
Vegetarian,Manicotti Special,460,25,52,24,Italian
Vegetarian,Veg Wontons Special,278,8,38,12,Chinese
Vegetarian,Queso Fundido Special,447,23,15,35,Mexican
Vegetarian,Stuffed Paratha Special,367,10,48,18,Indian
Vegan,Vegan Noodle Soup Special,278,13,42,8,Chinese
Vegetarian,Kung Pao Tofu Special,373,18,28,22,Chinese
Vegan,Tuscan Bean Stew Special,270,14,45,8,Italian
Vegan,Zucchini Fritters Special,225,5,28,14,Mediterranean
Non-vegetarian,Grilled Chicken Special,407,42,5,18,Mediterranean
Vegan,Tofu Stir Fry Special,297,15,22,18,Chinese
Vegetarian,Cheese Tostada Special,366,15,38,20,Mexican
Non-vegetarian,Shrimp Burrito Special,523,33,52,26,Mexican
Non-vegetarian,Shrimp Tacos Special,339,25,32,18,Mexican
Vegan,Arbi Fry Special,192,2,32,10,Indian
Vegetarian,Halloumi Skewers Special,334,19,15,26,Mediterranean
Non-vegetarian,Lamb Rogan Josh Special,546,39,12,35,Indian
Non-vegetarian,Beef Kofta Special,494,32,12,32,Mediterranean
Vegetarian,Chiles Rellenos Special,433,18,28,28,Mexican
Non-vegetarian,Tandoori Chicken Special,410,47,8,18,Indian
Vegetarian,Veg Kathi Roll Special,407,12,52,18,Indian
Vegetarian,Veg Seekh Kebab Special,265,14,22,18,Indian
Non-vegetarian,Beef Kebab Special,460,38,10,32,Mediterranean
Vegetarian,Samosa Special,358,8,45,16,Indian
Non-vegetarian,Mutton Biryani Special,634,37,55,32,Indian
Non-vegetarian,Lamb Bhuna Special,513,37,10,35,Indian
Vegetarian,Uttapam Special,318,7,48,8,Indian
Non-vegetarian,Beef Shawarma Special,500,38,28,32,Mediterranean
Vegan,Plantain Tacos Special,364,6,52,14,Mexican
Non-vegetarian,Fish Manchurian Special,396,29,32,20,Chinese
Vegetarian,Refried Beans Special,218,14,35,6,Mexican
Vegetarian,Mushroom in Garlic Sauce Special,255,9,25,14,Chinese
Non-vegetarian,Beef Kebab Special,493,32,10,32,Mediterranean
Vegetarian,Eggplant Parmesan Special,400,17,35,26,Italian
Vegetarian,Tzatziki with Pita Special,289,9,35,14,Mediterranean
Non-vegetarian,Barbacoa Special,406,37,10,26,Mexican
Vegetarian,Bean and Rice Bowl Special,450,18,62,18,Mexican
Vegan,Vegan Hot and Sour Soup Special,138,6,20,4,Chinese
Non-vegetarian,Chicken Quesadilla Special,516,29,45,28,Mexican
Vegan,Bean Soup Special,247,16,40,6,Italian
Non-vegetarian,Shrimp Ceviche Special,241,28,12,8,Mexican
Non-vegetarian,Chicken Lemon Special,427,27,32,22,Chinese
Non-vegetarian,Lamb Souvlaki Special,486,33,12,32,Mediterranean
Non-vegetarian,Egg Curry Special,300,20,15,22,Indian
Non-vegetarian,Chicken Shawarma Special,469,40,25,28,Mediterranean
Vegetarian,Four Cheese Pizza Special,575,24,58,30,Italian
Vegan,Poha Special,251,9,42,8,Indian
Vegetarian,Greek Pita Special,401,14,45,20,Mediterranean
Vegetarian,Tofu in Black Bean Sauce Special,300,19,20,20,Chinese
Vegetarian,Spring Rolls Special,341,6,40,15,Chinese
Vegan,Lauki Sabzi Special,159,3,20,5,Indian
Vegan,Guacamole Special,275,5,18,22,Mexican
Non-vegetarian,Prawn Masala Special,400,32,15,22,Indian
Vegetarian,Nachos Supreme Special,612,19,55,38,Mexican
Non-vegetarian,Beef Gyro Special,526,34,40,32,Mediterranean
Non-vegetarian,Dragon Chicken Special,485,33,32,28,Chinese
Non-vegetarian,Chicken Parmesan Special,596,39,35,32,Italian
Vegan,Hummus Bowl Special,374,14,42,18,Mediterranean
Vegan,Roasted Peppers Special,172,4,18,8,Italian
Vegetarian,Spring Rolls Special,319,5,40,15,Chinese
Vegan,Toor Dal Special,225,18,38,4,Indian
Non-vegetarian,Shrimp Kebab Special,367,31,10,22,Mediterranean
Vegetarian,Veg Seekh Kebab Special,265,13,22,18,Indian
Non-vegetarian,Beef Kebab Special,467,32,10,32,Mediterranean
Non-vegetarian,Dragon Chicken Special,500,28,32,28,Chinese
Vegan,Palak Dal Special,265,13,35,8,Indian
Vegan,Vegan Nachos Special,431,9,52,22,Mexican
Vegetarian,Refried Beans Special,233,15,35,6,Mexican
Vegan,Tofu Schezwan Special,377,15,28,20,Chinese
Non-vegetarian,Egg Biryani Special,459,24,55,22,Indian
Vegan,Stir Fried Mushrooms Special,192,5,15,12,Chinese
Vegan,Tofu Stir Fry Special,301,21,22,18,Chinese
Non-vegetarian,Pescado Frito Special,356,32,25,22,Mexican
Vegetarian,Churros Special,397,5,55,16,Mexican
Vegetarian,Halloumi Skewers Special,343,19,15,26,Mediterranean
Non-vegetarian,Fish Manchurian Special,360,26,32,20,Chinese
Vegan,Roasted Vegetable Pasta Special,402,9,58,14,Italian
Vegetarian,Bean Chalupa Special,379,16,45,18,Mexican
Vegetarian,Cheese Pide Special,426,19,48,24,Mediterranean
Non-vegetarian,Carnitas Tacos Special,452,35,35,25,Mexican
Vegan,Guacamole Special,221,7,18,22,Mexican
Non-vegetarian,Lamb Kebab Special,436,35,8,32,Mediterranean
Vegetarian,Paneer Do Pyaza Special,465,21,18,32,Indian
Vegetarian,Paneer Do Pyaza Special,441,18,18,32,Indian
Non-vegetarian,Pescado Frito Special,399,31,25,22,Mexican
Vegetarian,Veg Korma Special,392,14,35,28,Indian
Vegetarian,Tofu in Black Bean Sauce Special,310,21,20,20,Chinese
Vegan,Lauki Sabzi Special,123,2,20,5,Indian
Vegetarian,Halloumi Fries Special,393,18,28,26,Mediterranean
Non-vegetarian,Shrimp Tacos Special,359,25,32,18,Mexican
Vegetarian,Burnt Garlic Fried Rice Special,446,9,62,16,Chinese
Vegan,Black Bean Tacos Special,364,16,48,10,Mexican
Vegan,Vegan Dolmas Special,216,3,35,8,Mediterranean
Vegan,Roasted Vegetable Pasta Special,375,12,58,14,Italian
Vegetarian,Spring Rolls Special,337,10,40,15,Chinese
Vegetarian,Sopapillas Special,326,2,48,14,Mexican
Vegetarian,Shakshuka Special,317,20,22,20,Mediterranean
Vegan,Stir Fried Mushrooms Special,202,10,15,12,Chinese
Vegetarian,Veg Hakka Noodles Special,447,12,62,15,Indian
Vegetarian,Hakka Noodles Special,467,10,70,16,Chinese
Vegan,Bean Tostadas Special,334,11,45,12,Mexican
Vegan,Mediterranean Quinoa Special,380,14,48,14,Mediterranean
Vegetarian,Bean and Rice Bowl Special,454,16,62,18,Mexican
Non-vegetarian,Chicken Gyro Special,471,38,40,24,Mediterranean
Non-vegetarian,Chicken Parmigiana Special,557,43,35,32,Italian
Vegan,Gajar Matar Special,204,8,25,8,Indian
Non-vegetarian,Carnitas Tacos Special,455,37,35,25,Mexican
Vegetarian,Mapo Tofu Special,337,21,18,24,Chinese
Vegetarian,Cheese Pastry Special,394,12,38,22,Mediterranean
Vegan,Spaghetti Aglio e Olio Special,434,10,65,15,Italian
Non-vegetarian,Seafood Linguine Special,533,30,55,24,Italian
Vegetarian,Pappardelle Special,466,13,58,18,Italian
Vegetarian,Cheese Stromboli Special,537,23,52,28,Italian
Vegetarian,Greek Pita Special,378,12,45,20,Mediterranean
Vegan,Spaghetti Aglio e Olio Special,390,10,65,15,Italian
Vegetarian,Halloumi Skewers Special,373,21,15,26,Mediterranean
Vegan,Grilled Corn Salad Special,229,5,35,10,Mexican
Non-vegetarian,Shrimp Risotto Special,495,30,52,24,Italian
Non-vegetarian,Chicken Quesadilla Special,546,32,45,28,Mexican